Sentence_id	Prior_Emotion	Sentence	Attention	Certainty	Effort	Pleasant	Responsibility	Control	Circumstance
31	Anger	I felt ..., when my neighbour told me I had no right to live in my house and could not park my car in front of it. He's a mad man, but still I could not help to be ... by his statements.	2	2	2	0	0	0	0
611	Shame	I felt ... when someone commented that I was looking very untidy.	1	3	1	0	1	0	0
83	Anger	I felt ... at a recent news story, where a rapist was trying to get sole custody of the child that resulted from the rape.	2	1	0	0	0	0	0
523	Sadness	I felt ... when I saw rabbits looking very miserable in rather small cages in the city pet store, although these doubtless met all the regularity requirements.	2	3	1	0	0	0	1
488	Sadness	I felt ... because my children were very sad as one of their beloved pets of many years died suddenly and I was very ... because of both the pet dying and because of my childrens' sadness.	1	3	2	0	0	0	3
531	Sadness	I felt ... when I left my old job through ill health. I was very ... to leave.	1	2	2	0	1	0	3
530	Sadness	I felt ... when my wife got drunk at work.	1	3	1	0	0	0	0
412	Joy	I felt ... when I was a young girl because we used to travel to see my nan in Somerset, who we didn't get to see often and she would take us out, me, my mum and my brother to the seaside and I was so happy to see her and spend that time with her and my family.... eating ice cream, building sand castles, etc. During our summer holidays from School I would look forward to going and being there. Those times were the most joyful times of my life.	2	2	1	3	0	1	1
54	Anger	I felt ... when terrorist killed many young people at a Ariana Grande concert in Manchester, England.	2	2	1	0	0	0	0
91	Disgust	I felt ... when my cat woke me up by vomiting in my face. There was vomit all over my face, in my hair, all over my bed, over the wall... it was ... and I was unable to get rid of the smell all day.	2	2	3	0	0	0	2
411	Joy	I felt ... when I got a cricket bat for my birthday when young.	2	3	0	3	0	0	0
540	Sadness	I felt ... when my great aunt passed away, because I hadn't seen her before she died.	3	2	2	0	1	0	3
327	Guilt	I felt ... when my aunt died as I hadn’t seen her properly for a while. It stirred up lots of feelings of ..., especially the fact that I hadn’t had much time with my family. I felt ... that I hadn’t bothered.	3	2	2	0	2	1	2
451	Joy	I felt ... when I received a call from an old friend I hadn't heard from in years.	3	2	0	3	0	0	0
622	Shame	I felt ... because I settled for a relationship where I was never going to be happy but felt I had no choice for financial reasons.	1	2	3	0	2	3	1
521	Sadness	I felt ... because the woman I love has rejected my feelings, walking when we met together was very good :(	1	2	2	1	0	0	1
119	Disgust	Why do poo and ... go together?! My youngest child tried to eat his when we were potty training. He soon realised I was not happy.	2	2	2	0	0	1	1
657	Shame	I felt ... when I did not volunteer to drive my parents back from London, when they said mum did not want dad to drive in the dark.	0	2	0	0	3	3	0
17	Anger	I felt ... when I was showing a group of young adults how to build a block planting bed and explaining how to do the job properly. One of the people started messing about and laying the blocks wrong, and not taking any notice when told to stop. This not only ruined what had already been done, but it ruined the session for the other participants.	2	2	3	0	0	1	0
53	Anger	I felt ... when the police did not update me on a crime.	3	2	1	0	0	0	1
416	Joy	I feel ... when Oldham Athletic manage to stay in the premiership.	1	2	0	3	0	0	1
417	Joy	I felt ... when I found a paperback I had been looking for in a charity shop, in excellent condition and much cheaper than it would have cost to buy online.	2	3	0	3	1	1	2
366	Joy	I felt ... because I received more holidays than I thought I would get, so I could spend more time on my hobbies.	1	3	0	3	0	0	2
217	Fear	I felt ... when I first flew on a plane.	3	1	1	2	2	1	0
22	Anger	I felt ... because one of my children lied. I taught them not to, but natural sin came out and I was surprised to find myself so cross.	1	1	3	0	1	0	0
485	Sadness	I feel ... when I read about the people drowning in the sea, while attempting to reach the coasts of Italy.	1	2	0	0	0	0	1
631	Shame	I felt ... when I shouted at my children with a lost temper which was uncalled for. Of course I apologised, but I carried the ... of it.	0	2	3	0	3	3	0
298	Guilt	I felt ... because I ate a cake. I am on a diet and I should have stuck to it.	0	3	1	0	3	3	0
442	Joy	I felt ... when I passed my exams. I had worked hard and felt very ... to know that I had succeeded in something.	2	3	0	3	3	2	1
280	Fear	I felt ... when I had to drive along a flooded road on a dark night. I was ... that I would have an accident or that my car would break down.	3	0	3	0	1	0	3
592	Shame	I felt ... when I saw a man hit a woman in the street and did not step in to stop it.	1	2	1	0	1	2	0
407	Joy	I felt ... when my sons graduated from university with excellent degrees setting them up for future prosperity.	3	3	0	3	0	0	0
505	Sadness	I felt ... because of the death of my grandad.	3	2	2	0	0	0	3
115	Disgust	I felt ... when I let a man spit me on the face during a sexual intercourse. I wasn't expecting him to spit me in the face and I really felt sick after.	0	3	3	0	1	2	0
177	Disgust	I felt ... when I found half a sausage roll caked in fluff hidden down the back of my bed's headboard.	0	3	0	0	3	1	2
5	Anger	"I felt ... when it was late at night and my cat was out, I left my front door open slightly so she could come back in. I heard my door open fully and saw a man I didn't know standing in my flat without permission, shocked I asked, ""who are you?"" and he seemed drunk / on drugs and started murmuring as he wondered in. I demanded that he leave and he started to argue in my flat uninvited, I became extremely ... and I frightened him out of the door as I shouted at him going nuts. I lost my temper and felt like I could hit him hard, but I didn't. (background: I was born autistic and some people would describe my reaction as a meltdown, I felt terrible afterwards for ages and have little recollection of the event itself, I now use an alarm system by the door)."	3	0	3	0	2	1	1
335	Guilt	I felt ... when I had an extra marital affair. When the affair was discovered, I realised how selfish I had been and the hurt that I had caused.	0	1	2	0	3	1	0
242	Fear	I felt ... when a man grabbed me on the bus and didn't want to let me go. People around stared at both of us doing nothing. Eventually I managed to escape.	3	0	3	0	0	0	0
444	Joy	I felt ... because my boyfriend proposed to me on my Birthday this year. He took me away to New York and set up rose petals with little messages for me to find and then got down on one knee and asked me to marry him, I felt such ... and was overcome with emotion.	3	2	0	3	0	0	0
300	Guilt	I felt ... when I couldn't visit a relative because I was ill.	0	3	1	0	2	0	3
478	Sadness	I felt ... when my father died.	3	2	2	0	0	0	3
595	Shame	I felt ... when I went in to a courtroom to get a CCJ.	2	1	2	0	2	2	1
510	Sadness	I feel ... because my eldest son doesn't value his family and seems happy to separate himself from us unless he's going to benefit financially from seeing us.	1	1	2	0	0	0	0
176	Disgust	I felt ... driving through my nearest city late one Saturday night and seeing groups of young males vomiting and urinating in various shop doorways.	0	3	1	0	1	0	0
508	Sadness	I felt ... because my friend was going to live abroad.	2	1	2	1	0	0	1
610	Shame	I felt a sense of ... when once I had to take off my clothes in front of a nurse preparing me for having a vasectomy operation.	1	2	2	0	1	1	2
590	Shame	I felt ... when a boy had his foot ran over by the school bus when we were crowding round to be first aboard. We all pushed him so his foot went under the wheel. To cap it all, I saw the bus door open in front of me and jumped in, when I should have backed off to get out of the way.	1	2	1	0	1	2	0
43	Anger	I felt ... because someone cut me up in a car.	1	1	3	0	0	0	0
240	Fear	I felt ... when I was having a heart attack. I was ... that I would die. It was such a horrible feeling as I did not know what was happening, I was so ...	3	0	3	0	0	0	2
341	Guilt	I feel ... because I cheated on a previous girlfriend.	0	2	1	0	3	3	0
627	Shame	I felt ... as a child when I did something naughty and my mum found out. I was so ... and didn’t know what to do to make the situation better.	1	1	2	0	3	0	0
30	Anger	I felt ... when I found out how sly my daughter's classmate was acting. She's not a nice person, but she won't be telling my child what to do.	3	2	2	0	1	0	0
602	Shame	I felt ... when I didn’t do as well in my exams as I should have. I was so ... I hid the results from everyone and told them I got a good mark.	0	1	1	0	3	3	0
623	Shame	I felt ... because I had no friends.	0	1	2	0	1	0	2
519	Sadness	I felt ... when my grandmother had passed away.	3	2	2	0	0	0	3
639	Shame	I felt ... when I was caught out lying to a friend. I told her that I had flu and could not go out. However she then found out that I had been out with another friend.	0	1	1	0	3	1	0
526	Sadness	I feel ... because I am depressed.	0	1	2	0	0	0	3
511	Sadness	I feel ... because my life sucks.	0	2	2	0	0	0	3
214	Fear	I felt ... when I recently opened the door of my house at nighttime to find a stranger at the door who seemed to know an awful lot about me and my family and was asking for directions. I was very unnerved and phoned the police to report the incident. From being unnerved, I then became very ... for my safety.	2	1	3	0	1	1	1
438	Joy	I felt ... when my son came down for breakfast early, because I was playing some fun music tracks on the phone. We danced along to the music as we ate breakfast.	2	3	0	3	1	3	0
160	Disgust	I feel ... when I read some of the racist posts that are allowed to pass on MSN Facebook page.	2	3	0	0	0	0	0
260	Fear	I felt ... when I was being bullied at work and didn't think there was going to be an end to it.	0	1	3	0	0	0	0
89	Disgust	I felt ... because I bought a bacon sandwich from the deli and the bacon had been cremated.	0	1	1	0	1	1	1
321	Guilt	I felt ... when I didn’t take my cat to the vets for a while and she got ill. I felt ... and thought it was my fault, even though it wasn’t. I couldn’t focus on anything because I felt so guilty.	1	1	1	0	3	3	1
378	Joy	I felt ... when my partner and I got married. It was on a beautiful day in the botanic gardens surrounded by all the people who matter to us.	3	3	0	2	2	3	1
11	Anger	I felt ... when I saw a teenager kicking over some flowers in a park.	1	2	1	0	0	0	0
227	Fear	I felt ... when I turned around and couldn't see my son.	3	0	3	0	2	0	1
362	Joy	I felt ... when I saw my son married to a wonderful young lady among all her family who have welcomed him into their lives.	3	3	0	3	0	0	1
20	Anger	I felt ... when I saw a man and his son walking their dog, and the son was throwing stones at the dog and the father said nothing.	2	2	3	0	0	0	0
596	Shame	I felt ... when I stole money from my mum.	0	1	1	0	3	3	0
359	Guilt	I felt ... because I drank way too much, knowing that I had things to do the next day.	0	2	0	0	3	3	0
467	Sadness	I felt ... when my house from a few years ago got damaged by burst pipes and flooded internally. Most of our belongings were destroyed and we had to move out for nearly 18 months while the house dried out and was refurbished. It was an awful lot of hassle and upheaval.	2	2	2	0	0	0	2
299	Guilt	I felt ... when I forgot to set an alarm and was 2 hours late to go and let my mum's dog out for a walk and feed him.	3	2	1	0	3	0	0
38	Anger	I felt ... when my computer crashed.	3	1	1	0	0	0	1
577	Shame	I felt ... when I could not pay all of my service charge bill as I had no money to do so.	1	1	2	0	2	0	2
541	Sadness	I felt ... when my grandad died. The ... I felt overwhelmed me and I shut myself off from everyone. I couldn’t cry thou, I didn’t cry until his funeral. I still feel ... now.	2	2	2	0	0	0	3
358	Guilt	I felt ... because I witnessed an event of vandalism by a group of youths to a piece of lifesaving equipment today, and did not stop to try to correct the damage.	1	3	0	0	2	2	0
380	Joy	I felt ... the first day I brought home our rescue kittens from the shelter and let them out of the carrier.	3	3	0	3	3	3	0
424	Joy	I felt ... when my autistic son finally got a girlfriend. That we never thought would happen.	3	3	0	3	0	0	1
648	Shame	I feel ... because I owe more money than I should and don't tell.	0	2	2	0	3	2	0
314	Guilt	I felt ... because I forgot my friend's birthday.	1	2	1	0	2	0	0
487	Sadness	I felt ... when my mum messaged me when I was on holiday to say her dog had to be put down.	2	2	2	0	0	0	3
557	Sadness	I felt ... visiting a house that I grew up in and my parents built, it had changed out of all recognition as it had been developed considerably.	3	2	0	1	0	1	1
527	Sadness	I felt ... when it was raining this morning as I been planning to go on a camping trip.	2	3	1	0	0	0	3
630	Shame	I felt ... when I smacked my granddaughter in public when she was being very naughty.	0	2	2	0	3	3	0
618	Shame	I felt ... because I forgot my parent's wedding anniversary.	1	2	0	0	2	0	0
250	Fear	I felt ... when I cycled down a mountain in Scotland.	2	2	1	2	3	3	1
495	Sadness	I felt ... when my cat Pepsi died. I felt ... that she had died and I felt ... about the fact I couldn’t do anything to help her. I remember just cuddling her before she was put to sleep and I was so ...	3	2	2	0	0	0	3
413	Joy	I felt ... when my team won.	3	3	0	3	0	0	0
1	Anger	I felt ... when someone I thought was my friend betrayed my confidences and got me fired.	3	2	3	0	0	0	0
84	Anger	I felt ... when last week the doctors messed up my prescription again. When I opened the bag and saw the wrong medication I was ... with them for messing up. I honestly thought I was going to burst with ...	2	3	3	0	0	0	0
161	Disgust	I felt ... because the neighbour had hidden his plans for a development from us, without feeling any remorse.	1	2	2	0	0	0	0
576	Shame	I felt ... when private messages between me and someone else were publicly posted on Facebook. I was ... because it was so embarrassing.	0	2	2	0	0	0	0
379	Joy	I felt ... when my son was born. It was an amazing feeling looking at his face for the first time.	3	3	1	3	2	1	1
312	Guilt	I felt ... when I lost my sister's necklace that I had borrowed.	1	2	1	0	3	0	1
537	Sadness	I felt ... when a little baby mouse we were caring for died, and it made my daughter cry.	1	2	1	0	0	0	3
385	Joy	I felt ... when I heard that my friend had given birth to twins and that mother and babies were doing well.	3	2	0	3	0	0	1
636	Shame	I felt ... when I got caught drink driving.	0	1	2	0	3	0	0
372	Joy	I felt ... because I had worked very hard at my job for quite a while. An opportunity arose for promotion and I worked very hard to get this. On the day it was announced that I had got the promotion, I was so ..., to think that all the hard work had paid off and that there was a reward at the end of it.	3	3	0	3	3	1	1
352	Guilt	I felt ... because I finished with a boyfriend who hadn't done anything wrong.	1	3	1	0	3	3	0
351	Guilt	I felt ... when I lost a necklace that a friend had lent to me. It has sentimental value to her and I felt very ... for not taking more care of it.	2	2	1	0	3	0	2
370	Joy	I felt ... when I received a call from a person I'm in love with. This person lives abroad and we don't see each other too often.	3	2	0	3	0	0	0
474	Sadness	I felt ... when I read an article in the Times about David Baddiel's cat dying.	1	2	0	0	0	0	2
296	Guilt	I felt ... when I was stopped for driving while over the drink drive limit. I had to go to court and felt ... about the shame and embarassement I brought on my family.	0	2	2	0	3	1	0
290	Guilt	I felt ... because I lied to my partner about having an affair.	0	2	1	0	3	3	0
375	Joy	I felt ... when I won several hundred pounds on the lottery.	3	3	0	3	2	0	2
432	Joy	I felt ... when I gave birth to each of my children, and I think it got more ... with each child as I wasn't worrying as much about the process! The wonder of meeting a small person who had been hidden away was incredible.	2	3	2	3	3	1	1
313	Guilt	I felt ... because I had arranged to meet friends after work one evening for a catch up. I got engrossed in my work and didn't feel time slipping by. When I realised I was late, I made a rush to meet up with my friends. I was 45 mins late and felt very ... for leaving them waiting.	2	2	1	0	3	1	0
441	Joy	I felt ... when I pounced on a friend and started kissing them. They kissed me back even harder.	3	2	0	3	3	3	0
394	Joy	I felt ... when my sister told me she was getting married, so ... for her after a fair few bad relationships.	3	3	0	3	0	0	0
462	Sadness	I felt ... when my grandad died.	3	2	2	0	0	0	3
368	Joy	I felt ... when my son was born.	3	3	0	3	2	1	1
365	Joy	I felt ... when I found a twenty pound note on the ground outside.	3	3	0	3	2	1	2
422	Joy	I felt ... when my favourite football team won.	3	3	0	3	0	0	1
285	Guilt	I felt ... when I was awarded a grant and a friend, who is worse off than me, was refused.	2	2	1	1	3	0	1
635	Shame	I felt ... when I made a mistake at work and lost the company money.	1	1	2	0	3	0	0
406	Joy	I felt ... when my team won the cup.	3	2	0	3	0	0	1
528	Sadness	I felt ... when my friend's eye was watering after an injection into it and I could do nothing to help.	3	1	1	0	0	0	2
322	Guilt	I feel ... because I didn't thank my parent enough.	2	2	1	0	3	3	0
538	Sadness	I felt ... that it was the ten year anniversary of my grandad's funeral - I feel it every year, though this particular milestone seemed extra upsetting.	2	2	2	0	0	0	3
651	Shame	I felt ... when I offended an old man in the supermarket.	1	1	0	0	3	3	0
463	Sadness	I felt ... today when I thought of an anniversary that today is for me. I relived different moments and I know I will for the next few days.	2	3	1	2	0	1	2
437	Joy	I felt ... when I saw a porcupine crossing the road. I was driving home and it really made my day knowing there could be such a lovely creatures around.	3	2	0	3	0	0	2
345	Guilt	I felt ... when I had to leave my dog, whilst I went on holiday. I already felt ..., but when I said goodbye to her, she looked so sad which made me feel even worse. The ... continued whilst I was away when I heard she was pining for me at the door.	2	2	2	0	2	1	1
338	Guilt	I felt ... at a young age when I was a boy. Some of my friends had tried shop lifting so I tried it. I stole something and felt quite bad about it inside. I never did it again after that experience.	0	2	2	0	3	3	0
306	Guilt	I felt ... that I moved away to another country from my family as I met my partner. Although my children are now older and both have their own lives, I feel I should be nearer them to support them.	2	2	2	0	3	3	0
373	Joy	I felt ... because I was going to South Africa to see my partner who was waiting for a UK visa and we hadn't seen each other for a while, I was excited not just to see him but to visit a new country with such a wide variety of things to do, places to go and things to see.	3	1	0	3	2	3	0
646	Shame	I felt ... because I had been told not to put my used monthly protection in a certain bin and I did, and then I lied about doing it.	0	1	1	0	3	2	0
570	Shame	I felt ... when I forgot to do an errand that I promised I would do for a friend.	2	1	1	0	3	0	0
471	Sadness	I felt ... when my ex-wife was going through a very hard time financially and emotionally, and felt that I was unable to help her, other than try to provide something inadequate.	3	1	3	0	0	0	1
339	Guilt	I felt ... because I accidentally killed my pet fish by decorating his tank with untreated sand.	2	2	2	0	3	1	0
598	Shame	I felt ... because I split my trousers.	1	2	1	0	2	0	2
325	Guilt	I felt ... when I forgot a relative's birthday.	3	2	0	0	3	0	0
516	Sadness	I felt ... when Princess Diana died in a car accident in France.	2	1	0	0	0	0	3
482	Sadness	I felt ... when my grandad passed away.	3	1	2	0	0	0	3
428	Joy	I felt ... when Will Young won Pop Idol because he was nicer than Gareth Gates.	2	3	0	1	0	0	1
328	Guilt	I felt ... when I was about 8 years old as I took a packet of sweets from a shop when the shopkeeper was out the back. We had very little money and having sweets was a rarity.	0	2	1	0	3	2	0
620	Shame	I felt ... when I ate my whole Easter egg in one go.	0	3	0	1	3	3	0
634	Shame	I felt ... when I lied about the reliability of a second hand bicycle I sold, neglecting to mention a problem with the crankset.	0	2	1	0	3	3	0
426	Joy	I felt ... when I got married. I married later in life and it was something that I had always wanted and was the happiest day of my life.	3	3	0	3	2	3	0
369	Joy	I felt ... because my daughter scored in the highest percentile on a test designed to see how well she may do in her exams to decide her high school.	3	2	0	3	0	0	1
287	Guilt	I felt ... when I decided not to go to my cousins wedding because I was exhausted and couldn’t find anyone to look after my sick parent at the time. I knew she really wanted me to be there, so I felt really ... that I didn’t make it.	2	2	2	0	2	1	2
353	Guilt	I felt ... when I broke a glass cabinet at a party.	1	2	1	0	3	2	0
317	Guilt	I felt ... when I told a lie to get out of an appointment, when there was not really any reason why I could not attend.	0	3	0	0	3	3	0
294	Guilt	I felt ... when I forgot our anniversary.	3	2	0	0	3	0	0
583	Shame	I felt ... when I was in school and myself and some friends were playing outside. The ball we were playing with went through the school window and smashed it. We were brought in front of the school principal where he proceeded to chastise us.	1	1	2	0	3	2	0
490	Sadness	I felt ... when my first boyfriend broke up with me. I really loved him and it broke my heart. In retrospect it was for the best, but it didn't seem like it at the time.	3	2	2	0	0	0	0
604	Shame	I felt ... when I shoplifted as a child because my sister talked me into it and I should have known better.	0	1	2	0	3	3	0
336	Guilt	I felt ... because I refused to lend money to someone, even though I could afford to do so.	1	3	0	0	3	3	0
449	Joy	I felt ... when I got 5 numbers out of 6 on my lottery ticket.	3	2	0	3	2	0	2
355	Guilt	I felt ... on an occasion when I took the name of Jesus Christ in vain in an attempt to impress the ladies that I was a big shot. At that time I was not not religious but I did feel bad about it for some reason. Since that time, I have never done this again.	0	2	1	0	3	2	0
532	Sadness	I felt ... when I saw a homeless man with a dog on the street.	2	1	1	0	0	0	1
460	Sadness	I felt ... when I remembered how many years have past since I last saw the person who was my best friend during my schooldays.	3	1	0	0	1	1	1
390	Joy	I felt ... when I opened my A-Level results and achieved good enough grades to get to my first choice university.	3	3	0	3	3	1	1
389	Joy	I felt ... when my best friend had a little boy, who she had been trying for years for.	3	2	0	3	0	0	2
653	Shame	I felt … when, as a teenager, I found a lip gloss on the ground outside. I didn't want to use it as I didn't know where it had been, so I put it in a friend's desk with a note which I disguised my handwriting in, saying it was a present. Thankfully she didn't drop dead from a contagious disease, but I still feel a bit ...!	1	2	2	0	3	3	0
292	Guilt	I felt ... because I had promised my son that I would bring him to a football game one weekend. He was looking forward to it for so long and was very excited. One day beforehand, I found out in work that I was needed to work overtime, which would mean that I would miss the match. There was nothing I could do about it, but I was feeling very ... about missing the game. When I told my son, he was so disappointed, but understood, which made my ... even worse.	1	3	3	0	3	1	1
628	Shame	I felt ... when my credit card was refused in a shop.	1	1	2	0	0	0	1
472	Sadness	I felt ... when my mother died after suffering from cancer for months.	2	2	2	0	0	0	3
360	Joy	I felt ... because I was going to see my favourite music artist perform live.	3	3	0	3	3	3	0
494	Sadness	I feel ... when I hear sad things, such as news of a death, or somebody having a terminal illness. I feel ... when I watch sad films and sometimes I feel ... when the weather is grey and depressing.	1	1	1	0	1	0	3
320	Guilt	I felt ... because I had to make the decision to have my chocolate labrador put down, she was struggling to walk. It was a such a hard decision because I wanted to keep her with me, she was outstanding, so good and perceptive. I know she couldn't have carried on as as she was and the vet said she had lived longer than a lot of labradors, but I still felt/feel ... for having to make that decision.	2	2	2	0	3	3	1
492	Sadness	I felt ... when there was a tsunami in Thailand because lots of people were killed.	2	2	0	0	0	0	3
515	Sadness	I felt ... when I lost my dad. The ... I felt was later in life as I was very young when he died. As I got older I felt ... that he wouldn’t be here for the big moments.	2	1	3	0	0	0	3
439	Joy	I felt ... when I realised that it was less than a month until Xmas. I absolutely love Xmas and it’s my favourite time of the year, so I often very ...	3	2	0	3	0	0	2
567	Shame	I felt ... when I was eating at school for the first time in years, when I actually had money, and people made fun of me for eating because I was overweight. It made me feel worthless and like I shouldn’t have been eating anything at all.	0	2	2	0	0	0	0
295	Guilt	I feel ... because I didn't visit a friend who was unwell.	2	2	1	0	3	3	0
456	Joy	I felt ... when I bet and I had won.	3	3	0	3	3	0	3
408	Joy	I felt ... because I won a raffle prize.	3	3	0	3	3	0	2
484	Sadness	I felt ... when my beautiful dog had to be brought to the vet and the decision was made for her to be put to sleep.	2	2	2	0	0	0	2
454	Joy	I felt ... because I was baptised in the Holy Spirit as a Christian. It was like all my worries were pushed to one side and I had a feeling of immense love, peace and ...	3	2	0	3	2	2	0
562	Shame	I felt ... because I walked past a beggar and didn't bother to stop and give her a pound.	0	3	0	0	3	3	0
633	Shame	I felt ... when my swimming costume broke and I came out of the sea naked.	2	2	2	0	1	0	2
430	Joy	I felt ... because my son gave me a big hug when I got home from work.	3	3	0	3	0	1	0
392	Joy	I felt ... when I finally got all the children into bed after a very, long day.	1	3	0	3	2	3	0
289	Guilt	I felt ... because my grandfather passed away and I was not there because I didn't want to drive in the early hours of the morning.	2	2	3	0	3	2	1
475	Sadness	I felt ... when my mother died age only 59. I sat with her as she took her last breath and have never felt ... like it.	2	2	3	0	0	0	3
551	Sadness	I felt ... when I watched some of the sad cases of children in need.	1	2	0	0	1	0	2
561	Sadness	I felt ... when my Granny passed away. It's her anniversary and I'm so ... again. I miss her so...	2	1	3	0	0	0	3
376	Joy	I feel ... when there are tasks to complete on this platform and that ... is doubled when I get my earning paid into my paypal account.	3	2	2	2	1	1	1
638	Shame	I felt ... because I did something silly.	0	2	1	0	3	3	0
616	Shame	I felt ... because I cheated on my husband.	0	3	1	0	3	3	0
405	Joy	I felt ... when I came home from hospital and was greeted by my beautiful dog who I had missed dearly. She was so pleased to see me, and I was so ...	3	2	0	3	1	2	1
400	Joy	I felt ... dancing down Gloucester Place in London with the man I loved.	3	3	0	3	1	3	0
397	Joy	I felt ... because my daughter managed to achieve an amazing result in an international competition for creatives. As a finalist, she had some brilliant prizes and encouragement and it brought the whole family much ...	3	3	0	3	0	0	0
560	Sadness	I felt ... when my grandmother died as she was the only one who understood me.	2	2	3	0	0	0	3
303	Guilt	I felt ... when I ate the last burrito which belonged to my sister.	0	3	0	1	3	3	0
624	Shame	I felt ... when I had an extra marital affair. It was not until I was found out that I realised the hurt and pain I had caused.	1	2	2	0	3	2	0
549	Sadness	I felt ... when my bridesmaid died of cancer. She was amazing, she was so generous and spent years in Africa doing charity work, and then ran a night shelter. She regularly had awful migraines, but that pain blinded her to the dangers of stomach cancer.	2	2	3	0	0	0	3
391	Joy	I felt ... after the birth of my first grandchild.	3	2	0	3	0	0	2
283	Guilt	I felt ... because I wasn't there when my mother died.	2	2	2	0	3	1	1
402	Joy	I felt ... when I received a postage stamp that I had bought online for my collection - it was in excellent condition and completed a set that I had been accumulating since childhood.	3	3	0	3	2	2	0
288	Guilt	I felt ... when my best mate died from a drug overdose and I couldn't save him.	2	2	3	0	2	0	1
60	Anger	I felt ... when my colleagues did not even bother to say goodbye to me when I got made redundant or even call me to say they were sorry I was going.	2	1	2	0	0	0	0
609	Shame	I felt ... when I offended a young woman.	1	1	1	0	3	3	0
447	Joy	I felt ... when I got married. I hope I wasn't alone, it was a near-perfect day.	3	2	0	3	2	2	0
552	Sadness	I felt ... when the neighbour's wife had passed away. Although I did not know him very well, I felt sorry for him.	2	1	0	0	0	0	2
483	Sadness	I felt ... because my mother died of cancer. It was the biggest loss I ever had and I still miss her everyday.	2	2	3	0	0	0	3
357	Guilt	I felt ... when a shop assistant gave me too much change and I didn't say anything.	0	3	1	0	1	3	0
599	Shame	I felt ... that I lied about consuming the last of the milk this morning, letting my son take the blame from his mother.	0	3	1	0	3	3	0
644	Shame	I felt ... when I attempted to steal a book in a store. I took the book with the intention of walking out the store without paying for it. A sense of ... came over me and I actually put the book back. Since that time I have never attempted anything like this again.	1	1	1	0	3	3	0
594	Shame	I felt ... when I forgot to take my son to a football match because I didn't read messages in a text group carefully enough.	3	1	1	0	3	2	0
473	Sadness	I felt ... when my friend died the other week. I hadn’t seen him for a while and this made me very ... Then on the day of his funeral the ... overwhelmed me and I could not even speak.	2	2	3	0	0	0	3
